ticker,name,combined_score,technical_score,fundamental_score,sector,turnover20,gc_recent,ret20,per,pbr,mcap,next_earnings,source_file,market,entry_close,benchmark,benchmark_entry_close,snapshot_date
7730.T,マニー,86.35,100,72.7,精密機器,353972925,True,0.5,44.1,3.03,1719.0,2026-07-15,jp_pick20.csv,jp,1745.0,^N225,69744.0703125,2026-07-05
8818.T,京阪神ビルディング,84.95,100,69.9,不動産業,290424330,True,8.8,11.7,0.66,1077.0,,jp_pick20.csv,jp,1129.0,^N225,69744.0703125,2026-07-05
8613.T,丸三証券,84.3,100,68.6,証券･商品先物取引業,232109230,True,2.5,14.3,1.4,716.0,,jp_pick20.csv,jp,1080.0,^N225,69744.0703125,2026-07-05
8387.T,四国銀行,83.65,100,67.3,銀行業,390364605,True,14.2,7.5,0.69,1315.0,,jp_pick20.csv,jp,3140.0,^N225,69744.0703125,2026-07-05
6861.T,キーエンス,83.5,100,67.0,電気機器,46980349150,True,2.9,43.7,5.61,194748.0,2026-07-28,jp_pick20.csv,jp,80300.0,^N225,69744.0703125,2026-07-05
2264.T,森永乳業,82.2,100,64.4,食料品,2969111540,True,5.4,4.7,0.38,4198.0,2026-08-06,jp_pick20.csv,jp,1300.5,^N225,69744.0703125,2026-07-05
6877.T,ＯＢＡＲＡ　ＧＲＯＵＰ,81.95,100,63.9,電気機器,254692100,True,0.7,24.0,1.19,888.0,,jp_pick20.csv,jp,6160.0,^N225,69744.0703125,2026-07-05
5195.T,バンドー化学,81.7,90,73.4,ゴム製品,141282980,True,1.4,8.7,0.98,909.0,,jp_pick20.csv,jp,2231.0,^N225,69744.0703125,2026-07-05
4071.T,プラスアルファ・コンサルティング,81.5,85,78.0,情報･通信業,586269550,True,8.0,48.9,7.66,1232.0,,jp_pick20.csv,jp,2906.0,^N225,69744.0703125,2026-07-05
4997.T,日本農薬,81.2,100,62.4,化学,127768200,True,1.6,11.2,0.95,809.0,,jp_pick20.csv,jp,1033.0,^N225,69744.0703125,2026-07-05
8595.T,ジャフコ　グループ,81.0,90,72.0,証券･商品先物取引業,1207145830,True,6.3,19.0,0.92,1238.0,2026-07-24,jp_pick20.csv,jp,2352.0,^N225,69744.0703125,2026-07-05
4527.T,ロート製薬,80.95,100,61.9,医薬品,2386299628,True,0.2,15.9,1.8,5436.0,2026-08-05,jp_pick20.csv,jp,2405.5,^N225,69744.0703125,2026-07-05
3106.T,倉敷紡績,80.4,100,60.8,繊維製品,301572300,True,9.2,13.6,1.28,1685.0,,jp_pick20.csv,jp,10610.0,^N225,69744.0703125,2026-07-05
4901.T,富士フイルムホールディングス,80.3,100,60.6,化学,16672619490,True,2.6,15.8,1.14,43293.0,2026-08-06,jp_pick20.csv,jp,3621.0,^N225,69744.0703125,2026-07-05
7184.T,富山第一銀行,80.0,100,60.0,銀行業,512208280,True,7.3,11.2,0.85,1625.0,,jp_pick20.csv,jp,2671.0,^N225,69744.0703125,2026-07-05
8551.T,北日本銀行,79.65,100,59.3,銀行業,105167000,True,6.8,10.8,0.49,465.0,,jp_pick20.csv,jp,5680.0,^N225,69744.0703125,2026-07-05
2001.T,ニップン,79.55,100,59.1,食料品,767333070,True,5.5,10.5,0.81,2286.0,2026-08-06,jp_pick20.csv,jp,2766.0,^N225,69744.0703125,2026-07-05
9934.T,因幡電機産業,78.85,100,57.7,卸売業,497012905,True,1.8,13.3,1.58,3120.0,2026-07-31,jp_pick20.csv,jp,2779.5,^N225,69744.0703125,2026-07-05
1926.T,ライト工業,78.15,90,66.3,建設業,520737300,True,0.2,14.2,1.91,1688.0,,jp_pick20.csv,jp,4100.0,^N225,69744.0703125,2026-07-05
7350.T,おきなわフィナンシャルグループ,77.95,100,55.9,銀行業,415827250,True,7.1,12.5,0.87,1415.0,,jp_pick20.csv,jp,6630.0,^N225,69744.0703125,2026-07-05
MO,Altria,87.5,100,75.0,Consumer Staples,610061621,True,5.0,15.2,,121.42,2026-07-30,us_pick20.csv,us,72.70999908447266,^GSPC,7483.240234375,2026-07-05
CYTK,Cytokinetics,86.45,75,97.9,Health Care,199661699,True,22.3,,,11.74,2026-08-06,us_pick20.csv,us,86.48999786376953,^GSPC,7483.240234375,2026-07-05
AMP,Ameriprise Financial,83.75,100,67.5,Financials,354063320,True,10.9,12.2,7.09,43.97,2026-07-23,us_pick20.csv,us,489.1600036621094,^GSPC,7483.240234375,2026-07-05
VLO,Valero Energy,77.95,100,55.9,Energy,842604531,True,2.4,19.6,3.33,79.51,2026-07-30,us_pick20.csv,us,267.760009765625,^GSPC,7483.240234375,2026-07-05
GEV,GE Vernova,77.75,90,65.5,Industrials,3360363533,True,16.1,32.6,21.48,299.11,2026-07-22,us_pick20.csv,us,1113.1099853515625,^GSPC,7483.240234375,2026-07-05
DINO,HF Sinclair,76.1,80,72.2,Energy,163548958,True,-1.1,10.9,1.36,13.07,2026-07-28,us_pick20.csv,us,72.5,^GSPC,7483.240234375,2026-07-05
EXPD,Expeditors International,75.8,100,51.6,Industrials,231868233,True,5.6,27.1,9.68,21.92,2026-08-04,us_pick20.csv,us,167.57000732421875,^GSPC,7483.240234375,2026-07-05
ESNT,Essent Group Ltd.,74.9,85,64.8,Financials,66963385,True,16.1,9.2,1.06,5.98,2026-08-07,us_pick20.csv,us,64.8499984741211,^GSPC,7483.240234375,2026-07-05
KO,Coca-Cola Company (The),74.85,100,49.7,Consumer Staples,1722728998,True,7.5,26.5,10.77,362.01,2026-07-28,us_pick20.csv,us,84.13999938964844,^GSPC,7483.240234375,2026-07-05
EGP,EastGroup Properties,74.7,100,49.4,Real Estate,79741384,True,8.1,38.5,3.17,11.36,2026-07-23,us_pick20.csv,us,211.3300018310547,^GSPC,7483.240234375,2026-07-05
GEN,Gen Digital,74.5,85,64.0,Information Technology,178536647,True,0.6,17.0,6.11,16.07,2026-08-07,us_pick20.csv,us,26.670000076293945,^GSPC,7483.240234375,2026-07-05
DTM,DT Midstream,73.85,100,47.7,Energy,105670704,True,2.9,32.1,3.1,14.75,2026-07-30,us_pick20.csv,us,144.58999633789062,^GSPC,7483.240234375,2026-07-05
AVB,AvalonBay Communities,73.8,100,47.6,Real Estate,232619584,True,6.9,24.0,2.34,27.52,2026-07-29,us_pick20.csv,us,193.9600067138672,^GSPC,7483.240234375,2026-07-05
DDOG,Datadog,72.85,100,45.7,Information Technology,1177027801,True,4.0,667.6,23.23,92.68,2026-08-06,us_pick20.csv,us,260.3599853515625,^GSPC,7483.240234375,2026-07-05
AMH,American Homes 4 Rent,72.55,100,45.1,Real Estate,85557572,True,6.8,27.7,1.79,13.97,2026-07-31,us_pick20.csv,us,34.08000183105469,^GSPC,7483.240234375,2026-07-05
EG,Everest Group,72.4,75,69.8,Financials,172438370,True,17.4,7.6,0.97,14.69,2026-07-30,us_pick20.csv,us,371.3500061035156,^GSPC,7483.240234375,2026-07-05
ELV,Elevance Health,72.4,100,44.8,Health Care,720729429,True,7.2,17.7,2.07,90.75,2026-07-16,us_pick20.csv,us,417.8900146484375,^GSPC,7483.240234375,2026-07-05
UDR,"UDR, Inc.",72.2,100,44.4,Real Estate,165761067,True,9.3,28.0,4.13,15.22,2026-07-30,us_pick20.csv,us,41.09000015258789,^GSPC,7483.240234375,2026-07-05
OKE,Oneok,71.9,85,58.8,Energy,344441249,True,1.2,15.7,2.48,55.34,2026-08-03,us_pick20.csv,us,87.83000183105469,^GSPC,7483.240234375,2026-07-05
FCFS,FirstCash,71.8,90,53.6,Financials,122014159,True,0.8,27.8,4.23,9.73,2026-07-23,us_pick20.csv,us,221.97000122070312,^GSPC,7483.240234375,2026-07-05
