ticker,name,combined_score,technical_score,fundamental_score,sector,turnover20,gc_recent,ret20
7730.T,マニー,86.35,100,72.7,精密機器,353972925,True,0.5
8818.T,京阪神ビルディング,84.95,100,69.9,不動産業,290424330,True,8.8
8613.T,丸三証券,84.3,100,68.6,証券･商品先物取引業,232109230,True,2.5
8387.T,四国銀行,83.65,100,67.3,銀行業,390364605,True,14.2
6861.T,キーエンス,83.5,100,67.0,電気機器,46980349150,True,2.9
3333.T,あさひ,82.45,100,64.9,小売業,150512715,True,1.9
2264.T,森永乳業,82.2,100,64.4,食料品,2969111540,True,5.4
2288.T,丸大食品,82.05,100,64.1,食料品,168978780,True,3.0
6877.T,ＯＢＡＲＡ　ＧＲＯＵＰ,81.95,100,63.9,電気機器,254692100,True,0.7
5195.T,バンドー化学,81.7,90,73.4,ゴム製品,141282980,True,1.4
4071.T,プラスアルファ・コンサルティング,81.5,85,78.0,情報･通信業,586269550,True,8.0
9605.T,東映,81.45,100,62.9,情報･通信業,484062500,True,3.1
4997.T,日本農薬,81.2,100,62.4,化学,127768200,True,1.6
8595.T,ジャフコ　グループ,81.0,90,72.0,証券･商品先物取引業,1207145830,True,6.3
4527.T,ロート製薬,80.95,100,61.9,医薬品,2386299628,True,0.2
3106.T,倉敷紡績,80.4,100,60.8,繊維製品,301572300,True,9.2
4901.T,富士フイルムホールディングス,80.3,100,60.6,化学,16672619490,True,2.6
7184.T,富山第一銀行,80.0,100,60.0,銀行業,512208280,True,7.3
8551.T,北日本銀行,79.65,100,59.3,銀行業,105167000,True,6.8
2001.T,ニップン,79.55,100,59.1,食料品,767333070,True,5.5
