ticker,name,score,roe,op_margin,net_margin,equity_ratio,per,pbr,price,sector33,market,scale
3763.T,プロシップ,94.3,0.1950363939314215,0.3492954382612849,0.2655839503224265,0.801,,,,情報･通信業,プライム,TOPIX Small 2
6176.T,ブランジスタ,92.7,0.2514361467079098,0.2293689320388349,0.6905339805825242,0.749,7.498559552226521,,911.0,サービス業,スタンダード,-
9242.T,メディア総研,91.8,0.1637393767705382,0.2580204778156996,0.1972696245733788,0.824,8.475298126064736,,1990.0,サービス業,グロース,-
3560.T,ほぼ日,91.1,0.2025443588885169,0.2452937013446567,0.1712668082094833,0.791,8.610439918689831,,4490.0,小売業,スタンダード,-
6036.T,ＫｅｅＰｅｒ技研,90.6,0.3180776124379976,0.2344272174437079,0.4180682627513285,0.749,9.99856958947218,,2796.0,サービス業,プライム,TOPIX Small 1
8136.T,サンリオ,90.5,0.3501163677863192,0.4011530851984666,0.2813569102675075,0.664,,,,卸売業,プライム,TOPIX Mid400
6276.T,シリウスビジョン,90.5,0.1759036144578313,0.1496478873239436,0.6426056338028169,0.722,3.9005736137667295,,306.0,電気機器,スタンダード,-
9236.T,ジャパンＭ＆Ａソリューション,88.5,0.1827338129496402,0.2699619771863117,0.2414448669201521,0.799,11.928313743744908,,1025.0,サービス業,グロース,-
2763.T,エフティグループ,88.1,0.1830985915492957,0.2829411950980082,0.2045979923366794,0.778,4.922935357717966,0.9014625598166744,1070.0,卸売業,スタンダード,-
7463.T,アドヴァングループ,88.1,0.1337790977418659,0.1310166705799483,0.4732918525475463,0.715,3.8567727137578047,0.5059003131233216,908.0,小売業,スタンダード,TOPIX Small 2
9253.T,スローガン,87.4,0.1134751773049645,0.4717557251908397,0.3175572519083969,0.699,8.553580009610764,,712.0,サービス業,グロース,-
5869.T,早稲田学習研究会,87.2,0.1331196657194487,0.1983251517406843,0.1362806655080568,,,,1188.0,サービス業,スタンダード,-
378A.T,ヒット,86.7,0.1423710601719197,0.3075345976422347,0.2037416709379805,0.698,9.58533391532082,,1098.0,サービス業,グロース,-
2303.T,ドーン,86.7,0.1039861351819757,0.3779816513761468,0.2752293577981651,0.929,13.152569809793606,,1300.0,情報･通信業,スタンダード,-
6417.T,ＳＡＮＫＹＯ,86.1,0.1868921268813335,0.3486616334934797,0.26087684349733,0.865,7.045903799692511,1.27398652941924,1604.0,機械,プライム,TOPIX Mid400
4365.T,松本油脂製薬,86.1,0.088060306573022,0.1986900094962136,0.1956950497942487,0.842,7.283804903754877,0.6561014180634019,20180.0,化学,スタンダード,-
1384.T,ホクリヨウ,85.9,0.2204589565018837,0.2148699528281473,0.1671355000649154,0.749,4.469506186357166,0.9854952101359704,2041.0,水産・農林業,スタンダード,-
6430.T,ダイコク電機,85.9,0.1158492389466054,0.1780186613173344,0.1058946942230892,0.838,5.808897876643074,0.6736355801532535,2298.0,機械,プライム,TOPIX Small 2
