ticker,name,combined_score,technical_score,fundamental_score,sector,turnover20,gc_recent,ret20
7730.T,マニー,86.35,100,72.7,精密機器,353972925,True,0.5
8818.T,京阪神ビルディング,84.95,100,69.9,不動産業,290424330,True,8.8
8613.T,丸三証券,84.3,100,68.6,証券･商品先物取引業,232109230,True,2.5
8387.T,四国銀行,83.65,100,67.3,銀行業,390364605,True,14.2
6861.T,キーエンス,83.5,100,67.0,電気機器,46980349150,True,2.9
3333.T,あさひ,82.45,100,64.9,小売業,150512715,True,1.9
2264.T,森永乳業,82.2,100,64.4,食料品,2969111540,True,5.4
2288.T,丸大食品,82.05,100,64.1,食料品,168978780,True,3.0
6877.T,ＯＢＡＲＡ　ＧＲＯＵＰ,81.95,100,63.9,電気機器,254692100,True,0.7
5195.T,バンドー化学,81.7,90,73.4,ゴム製品,141282980,True,1.4
4071.T,プラスアルファ・コンサルティング,81.5,85,78.0,情報･通信業,586269550,True,8.0
9605.T,東映,81.45,100,62.9,情報･通信業,484062500,True,3.1
4997.T,日本農薬,81.2,100,62.4,化学,127768200,True,1.6
8595.T,ジャフコ　グループ,81.0,90,72.0,証券･商品先物取引業,1207145830,True,6.3
4527.T,ロート製薬,80.95,100,61.9,医薬品,2386299628,True,0.2
3106.T,倉敷紡績,80.4,100,60.8,繊維製品,301572300,True,9.2
4901.T,富士フイルムホールディングス,80.3,100,60.6,化学,16672619490,True,2.6
7184.T,富山第一銀行,80.0,100,60.0,銀行業,512208280,True,7.3
8551.T,北日本銀行,79.65,100,59.3,銀行業,105167000,True,6.8
2001.T,ニップン,79.55,100,59.1,食料品,767333070,True,5.5
255A.T,ジーエルテクノホールディングス,79.05,90,68.1,精密機器,656934850,True,7.9
9934.T,因幡電機産業,78.85,100,57.7,卸売業,497012905,True,1.8
1926.T,ライト工業,78.15,90,66.3,建設業,520737300,True,0.2
8088.T,岩谷産業,78.15,100,56.3,卸売業,1611823272,True,1.1
2805.T,ヱスビー食品,78.0,100,56.0,食料品,180730175,True,10.4
7350.T,おきなわフィナンシャルグループ,77.95,100,55.9,銀行業,415827250,True,7.1
9007.T,小田急電鉄,77.8,100,55.6,陸運業,2269502575,True,0.8
4776.T,サイボウズ,77.75,85,70.5,情報･通信業,933372620,True,2.9
8541.T,愛媛銀行,77.7,100,55.4,銀行業,306281895,True,10.9
8399.T,琉球銀行,77.7,100,55.4,銀行業,384877300,True,7.7
7458.T,第一興商,77.65,90,65.3,卸売業,397522272,True,5.3
5844.T,京都フィナンシャルグループ,77.3,100,54.6,銀行業,5810843815,True,1.9
7976.T,三菱鉛筆,77.15,100,54.3,その他製品,214922618,True,9.2
4578.T,大塚ホールディングス,77.05,100,54.1,医薬品,12222547143,True,7.5
9735.T,セコム,77.0,100,54.0,サービス業,9417581215,True,4.2
6457.T,グローリー,76.7,100,53.4,機械,765084530,True,2.1
8037.T,カメイ,76.35,100,52.7,卸売業,145637675,True,3.1
7318.T,セレンディップ・ホールディングス,76.3,100,52.6,輸送用機器,467855615,True,5.8
8377.T,ほくほくフィナンシャルグループ,76.0,100,52.0,銀行業,2779032525,True,13.1
4493.T,サイバーセキュリティクラウド,75.9,85,66.8,情報･通信業,183311465,True,1.8
