ticker,name,combined_score,technical_score,fundamental_score,sector,turnover20,gc_recent,ret20,per,pbr,mcap,next_earnings
7730.T,マニー,86.35,100,72.7,精密機器,353972925,True,0.5,44.1,3.03,1719.0,2026-07-15
8818.T,京阪神ビルディング,84.95,100,69.9,不動産業,290424330,True,8.8,11.7,0.66,1077.0,
8613.T,丸三証券,84.3,100,68.6,証券･商品先物取引業,232109230,True,2.5,14.3,1.4,716.0,
8387.T,四国銀行,83.65,100,67.3,銀行業,390364605,True,14.2,7.5,0.69,1315.0,
6861.T,キーエンス,83.5,100,67.0,電気機器,46980349150,True,2.9,43.7,5.61,194748.0,2026-07-28
2264.T,森永乳業,82.2,100,64.4,食料品,2969111540,True,5.4,4.7,0.38,4198.0,2026-08-06
6877.T,ＯＢＡＲＡ　ＧＲＯＵＰ,81.95,100,63.9,電気機器,254692100,True,0.7,24.0,1.19,888.0,
5195.T,バンドー化学,81.7,90,73.4,ゴム製品,141282980,True,1.4,8.7,0.98,909.0,
4071.T,プラスアルファ・コンサルティング,81.5,85,78.0,情報･通信業,586269550,True,8.0,48.9,7.66,1232.0,
4997.T,日本農薬,81.2,100,62.4,化学,127768200,True,1.6,11.2,0.95,809.0,
8595.T,ジャフコ　グループ,81.0,90,72.0,証券･商品先物取引業,1207145830,True,6.3,19.0,0.92,1238.0,2026-07-24
4527.T,ロート製薬,80.95,100,61.9,医薬品,2386299628,True,0.2,15.9,1.8,5436.0,2026-08-05
3106.T,倉敷紡績,80.4,100,60.8,繊維製品,301572300,True,9.2,13.6,1.28,1685.0,
4901.T,富士フイルムホールディングス,80.3,100,60.6,化学,16672619490,True,2.6,15.8,1.14,43293.0,2026-08-06
7184.T,富山第一銀行,80.0,100,60.0,銀行業,512208280,True,7.3,11.2,0.85,1625.0,
8551.T,北日本銀行,79.65,100,59.3,銀行業,105167000,True,6.8,10.8,0.49,465.0,
2001.T,ニップン,79.55,100,59.1,食料品,767333070,True,5.5,10.5,0.81,2286.0,2026-08-06
9934.T,因幡電機産業,78.85,100,57.7,卸売業,497012905,True,1.8,13.3,1.58,3120.0,2026-07-31
1926.T,ライト工業,78.15,90,66.3,建設業,520737300,True,0.2,14.2,1.91,1688.0,
7350.T,おきなわフィナンシャルグループ,77.95,100,55.9,銀行業,415827250,True,7.1,12.5,0.87,1415.0,
