ticker,name,score,gc_recent,trend_aligned,rsi,ret20,pct_from_52w_high,vol_ratio_on_gc,close,turnover20,sector33,market,scale
6339.T,新東工業,100,True,True,65.6,0.7,-6.0,0.74,1212.0,144780515,機械,プライム,TOPIX Small 2
8522.T,名古屋銀行,100,True,True,65.4,7.9,-0.2,0.8,6300.0,876890350,銀行業,プライム,TOPIX Small 1
8386.T,百十四銀行,100,True,True,58.7,9.5,0.0,0.66,2669.0,806250010,銀行業,プライム,TOPIX Small 1
8387.T,四国銀行,100,True,True,67.7,14.2,0.0,0.88,3140.0,390364605,銀行業,プライム,TOPIX Small 2
8392.T,大分銀行,100,True,True,59.5,13.7,0.0,1.14,2547.0,757688125,銀行業,プライム,TOPIX Small 2
8399.T,琉球銀行,100,True,True,52.9,7.7,0.0,0.88,2651.0,384877300,銀行業,プライム,TOPIX Small 1
8410.T,セブン銀行,100,True,True,52.4,4.6,-5.3,0.85,288.8,1545047911,銀行業,プライム,TOPIX Mid400
7381.T,ＣＣＩグループ,100,True,True,60.9,0.9,-1.9,0.76,1043.0,514465435,銀行業,プライム,TOPIX Small 1
4324.T,電通グループ,100,True,True,60.5,4.7,-8.5,1.1,3243.0,3805463605,サービス業,プライム,TOPIX Mid400
7366.T,ＬＩＴＡＬＩＣＯ,100,True,True,60.7,10.7,0.0,0.92,1668.0,176179025,サービス業,プライム,TOPIX Small 2
7350.T,おきなわフィナンシャルグループ,100,True,True,51.5,7.1,0.0,0.89,6630.0,415827250,銀行業,プライム,TOPIX Small 1
2433.T,博報堂ＤＹホールディングス,100,True,True,61.0,2.4,-2.5,0.81,1172.5,936047778,サービス業,プライム,TOPIX Mid400
8541.T,愛媛銀行,100,True,True,63.8,10.9,0.0,0.99,2210.0,306281895,銀行業,プライム,TOPIX Small 2
8544.T,京葉銀行,100,True,True,62.4,8.6,0.0,1.19,2638.0,1024515950,銀行業,プライム,TOPIX Small 1
5302.T,日本カーボン,100,True,False,64.7,3.4,-1.7,1.09,4860.0,383390927,ガラス･土石製品,プライム,TOPIX Small 1
8141.T,新光商事,100,True,True,55.6,0.1,-8.8,0.16,1587.0,438648100,卸売業,プライム,TOPIX Small 2
7318.T,セレンディップ・ホールディングス,100,True,False,62.6,5.8,-4.7,0.44,2359.0,467855615,輸送用機器,グロース,-
2607.T,不二製油,100,True,True,68.7,10.3,-4.5,1.23,4039.0,1878212055,食料品,プライム,TOPIX Mid400
7272.T,ヤマハ発動機,100,True,True,62.6,4.1,-3.9,1.02,1249.0,7190570145,輸送用機器,プライム,TOPIX Mid400
7267.T,本田技研工業,100,True,True,69.0,7.3,-5.9,1.0,1550.0,26487565758,輸送用機器,プライム,TOPIX Core30
8377.T,ほくほくフィナンシャルグループ,100,True,True,69.2,13.1,0.0,1.01,7270.0,2779032525,銀行業,プライム,TOPIX Mid400
8368.T,百五銀行,100,True,True,58.2,8.2,0.0,0.88,2081.0,1592017875,銀行業,プライム,TOPIX Small 1
7236.T,ティラド,100,True,True,66.3,8.6,0.0,0.54,1559.0,449354620,輸送用機器,プライム,TOPIX Small 2
8336.T,武蔵野銀行,100,True,True,55.5,6.3,0.0,0.77,2584.0,861296545,銀行業,プライム,TOPIX Small 1
8103.T,明和産業,100,True,True,57.8,3.1,-7.9,0.81,906.0,190419720,卸売業,プライム,TOPIX Small 2
