ticker,name,market,sector33,scale
1301.T,極洋,プライム,水産・農林業,TOPIX Small 1
130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース,医薬品,-
1332.T,ニッスイ,プライム,水産・農林業,TOPIX Mid400
1333.T,Ｕｍｉｏｓ,プライム,水産・農林業,TOPIX Mid400
135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース,情報･通信業,-
1375.T,ユキグニファクトリー,プライム,水産・農林業,TOPIX Small 2
1376.T,カネコ種苗,スタンダード,水産・農林業,TOPIX Small 2
1377.T,サカタのタネ,プライム,水産・農林業,TOPIX Small 1
1379.T,ホクト,プライム,水産・農林業,TOPIX Small 2
137A.T,Ｃｏｃｏｌｉｖｅ,グロース,情報･通信業,-
1380.T,秋川牧園,スタンダード,水産・農林業,-
1381.T,アクシーズ,スタンダード,水産・農林業,-
1382.T,ホーブ,スタンダード,水産・農林業,-
1383.T,ベルグアース,スタンダード,水産・農林業,-
1384.T,ホクリヨウ,スタンダード,水産・農林業,-
138A.T,光フードサービス,グロース,小売業,-
1401.T,エムビーエス,グロース,建設業,-
1407.T,ウエストホールディングス,スタンダード,建設業,-
1414.T,ショーボンドホールディングス,プライム,建設業,TOPIX Mid400
1417.T,ミライト・ワン,プライム,建設業,TOPIX Mid400
1418.T,インターライフホールディングス,スタンダード,建設業,-
1419.T,タマホーム,プライム,建設業,TOPIX Small 1
141A.T,トライアルホールディングス,グロース,小売業,-
1420.T,サンヨーホームズ,スタンダード,建設業,-
1429.T,日本アクア,プライム,建設業,-
142A.T,ジンジブ,グロース,サービス業,-
1430.T,ファーストコーポレーション,スタンダード,建設業,-
1431.T,Ｌｉｂ　Ｗｏｒｋ,グロース,建設業,-
1433.T,ベステラ,プライム,建設業,-
1434.T,ＪＥＳＣＯホールディングス,スタンダード,建設業,-
1435.T,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード,不動産業,TOPIX Small 2
1436.T,グリーンエナジー＆カンパニー,グロース,建設業,-
1438.T,岐阜造園,スタンダード,建設業,-
143A.T,イシン,グロース,サービス業,-
1443.T,技研ホールディングス,スタンダード,建設業,-
1444.T,ニッソウ,グロース,建設業,-
1446.T,キャンディル,スタンダード,建設業,-
1447.T,ＳＡＡＦホールディングス,グロース,建設業,-
1450.T,ＴＡＮＡＫＥＮ,スタンダード,建設業,-
145A.T,Ｌ　ｉｓ　Ｂ,グロース,情報･通信業,-
146A.T,コロンビア・ワークス,スタンダード,不動産業,-
147A.T,ソラコム,グロース,情報･通信業,-
148A.T,ハッチ・ワーク,グロース,情報･通信業,-
1491.T,中外鉱業,スタンダード,非鉄金属,-
149A.T,シンカ,グロース,情報･通信業,-
150A.T,ＪＳＨ,グロース,サービス業,-
1514.T,住石ホールディングス,スタンダード,鉱業,TOPIX Small 2
1515.T,日鉄鉱業,プライム,鉱業,TOPIX Small 1
1518.T,三井松島ホールディングス,プライム,その他製品,TOPIX Small 1
151A.T,ダイブグループ,グロース,サービス業,-
153A.T,カウリス,グロース,情報･通信業,-
155A.T,情報戦略テクノロジー,グロース,情報･通信業,-
156A.T,マテリアルグループ,グロース,サービス業,-
