ticker,name,score,roe,revenue_growth,earnings_growth,per,pbr,debt_to_equity,sector,index
CYTK,Cytokinetics,97.9,,11.258,,,-13.000151,,Health Care,S&P400
FISV,Fiserv,93.6,,,,8.869492,1.0645267,,Financials,S&P500
EXE,Expand Energy,84.8,0.17568001,0.41,,6.7500005,1.1143184,25.883,Energy,S&P500
CNX,CNX Resources,84.3,0.28081,0.282,,4.512,1.038196,54.827,Energy,S&P400
EQT,EQT Corporation,84.1,0.13402,0.499,4.9,9.982923,1.3100426,20.816,Energy,S&P500
CDE,Coeur Mining,82.4,0.12146,1.378,4.833,13.951612,1.7188276,7.426,Materials,S&P400
DELL,Dell Technologies,82.3,,0.875,2.825,31.444977,-182.30235,,Information Technology,S&P500
NEM,Newmont,81.0,0.25832,0.458,0.786,12.586251,2.9812596,15.762,Materials,S&P500
BKNG,Booking Holdings,79.8,,0.162,2.4,24.316204,-16.50067,,Consumer Discretionary,S&P500
PTC,PTC Inc.,79.1,0.344,0.217,2.689,11.9644575,3.726922,35.78,Information Technology,S&P500
AFL,Aflac,78.2,0.16469,0.279,38.6,13.814857,2.0597756,48.276,Financials,S&P500
ARW,Arrow Electronics,78.0,0.113299996,0.39,2.013,14.1461315,1.496378,36.178,Information Technology,S&P400
FSLR,First Solar,77.9,0.18436001,0.236,0.651,14.516483,2.442731,5.943,Information Technology,S&P500
AR,Antero Resources,77.8,0.12837,0.343,1.606,11.449839,1.3594621,57.771,Energy,S&P400
INCY,Incyte,77.5,0.30823,0.209,0.838,16.50565,4.1556134,0.701,Health Care,S&P500
CINF,Cincinnati Financial,77.1,0.18735,0.116,,10.979417,1.8892595,5.626,Financials,S&P500
CF,CF Industries,77.1,0.273,0.194,1.151,9.958558,3.178629,43.847,Materials,S&P500
ALL,Allstate,76.8,0.45221,0.03,3.384,5.5370493,2.181487,23.719,Financials,S&P500
COLB,Columbia Banking System,76.6,0.10154,0.399,0.61,12.439216,1.1983378,,Financials,S&P400
MU,Micron Technology,76.4,0.66638,3.457,13.685,22.076488,15.186886,6.33,Information Technology,S&P500
FIS,Fidelity National Information Services,75.9,0.17225,0.301,30.406,8.100776,1.3526194,132.328,Financials,S&P500
AGCO,AGCO,75.5,0.17531,0.143,4.419,11.233365,1.963061,59.71,Industrials,S&P400
DUOL,Duolingo,75.2,0.36960998,0.265,0.236,14.389017,4.2327757,6.601,Consumer Discretionary,S&P400
MO,Altria,75.0,,0.053,1.063,15.179541,-37.830383,,Consumer Staples,S&P500
FAF,First American Financial Corporation,74.3,0.12796,0.162,0.704,10.689231,1.2922425,51.35,Financials,S&P400
YUM,Yum! Brands,74.2,,0.152,0.722,26.612276,-6.22939,,Consumer Discretionary,S&P500
HPQ,HP Inc.,74.1,,0.09,0.162,8.122222,-139.68152,,Information Technology,S&P500
EOG,EOG Resources,74.0,0.18195,0.156,0.396,12.85939,2.2630997,26.873,Energy,S&P500
CMC,Commercial Metals,73.4,0.13791999,0.229,1.123,11.669188,1.5078163,79.981,Materials,S&P400
FICO,Fair Isaac,73.0,,0.387,0.69,40.318207,-14.086057,,Information Technology,S&P500
SMCI,Supermicro,72.9,0.17877,1.227,3.26,14.326316,2.160832,120.798,Information Technology,S&P500
ALLY,Ally Financial,72.7,0.09356,0.197,,11.0,1.0486857,,Financials,S&P400
EVR,Evercore,72.5,0.42166,1.003,1.069,19.271091,7.4362483,52.585,Financials,S&P400
DINO,HF Sinclair,72.2,0.13044,0.118,,10.885886,1.3637817,34.67,Energy,S&P400
CB,Chubb Limited,72.2,0.15433,0.102,0.787,12.771216,1.9015654,31.458,Financials,S&P500
ACGL,Arch Capital Group,71.7,0.21305999,-0.033,0.946,7.8615384,1.5379058,11.282,Financials,S&P500
CEG,Constellation Energy,71.6,0.16104999,0.638,10.91,20.786272,2.5892017,66.428,Utilities,S&P500
AIZ,Assurant,71.5,0.18016,0.113,0.912,14.324962,2.3651674,37.61,Financials,S&P500
NVDA,Nvidia,71.4,1.14288,0.852,2.145,29.83614,24.142504,6.555,Information Technology,S&P500
HIG,Hartford (The),71.3,0.22735001,0.061,0.414,9.700915,2.042313,23.151,Financials,S&P500
NUE,Nucor,71.2,0.12285,0.213,3.821,21.878098,2.3434432,31.595,Materials,S&P500
BBWI,"Bath & Body Works, Inc.",70.9,,-0.032,0.837,6.238636,-3.895689,,Consumer Discretionary,S&P400
TRV,Travelers Companies (The),70.9,0.25272,0.01,3.576,10.21516,2.2752109,28.975,Financials,S&P500
IRM,Iron Mountain,70.7,,0.216,8.6,125.9785,-28.687561,,Real Estate,S&P500
FNF,Fidelity National Financial,70.1,0.1047,0.167,2.0,17.380783,1.8111025,54.788,Financials,S&P400
META,Meta Platforms,70.1,0.32930002,0.331,0.624,21.18866,6.071053,35.608,Communication Services,S&P500
EG,Everest Group,69.8,0.13822,-0.047,2.307,7.5646772,0.96656394,23.471,Financials,S&P500
TEL,TE Connectivity,69.7,0.22719999,0.145,71.5,20.167519,4.358499,43.798,Information Technology,S&P500
WDC,Western Digital,69.4,0.85920995,0.455,4.829,32.256134,25.770977,17.81,Information Technology,S&P500
BRK-B,Berkshire Hathaway,69.4,0.10499,0.044,1.196,15.10351,0.0010043923,17.669,Financials,S&P500
