ticker,name,score,gc_recent,trend_aligned,rsi,ret20,pct_from_52w_high,vol_ratio_on_gc,close,turnover20,sector,index
KHC,Kraft Heinz,100,True,True,58.2,13.5,-6.5,1.01,25.37,337418447,Consumer Staples,S&P500
EGP,EastGroup Properties,100,True,True,64.7,8.1,0.0,1.08,211.33,79741384,Real Estate,S&P400
SXT,Sensient Technologies,100,True,True,50.4,10.3,0.0,1.19,124.49,62410097,Materials,S&P600
DTM,DT Midstream,100,True,True,62.3,2.9,-4.1,1.0,144.59,105670704,Energy,S&P400
GTY,Getty Realty Corp.,100,True,True,66.4,8.5,0.0,1.01,34.34,19669493,Real Estate,S&P600
MRK,Merck & Co.,100,True,True,65.7,13.8,0.0,1.15,129.56,1556561432,Health Care,S&P500
UNP,Union Pacific Corporation,100,True,True,64.0,7.7,0.0,1.17,282.25,730762471,Industrials,S&P500
JAZZ,Jazz Pharmaceuticals,100,True,True,58.0,5.4,0.0,1.07,243.47,211480101,Health Care,S&P400
CLH,Clean Harbors,100,True,False,55.5,1.6,-7.2,0.77,291.2,143710386,Industrials,S&P400
IRDM,Iridium Communications,100,True,True,57.0,10.1,-3.5,0.94,53.75,178028274,Communication Services,S&P600
KO,Coca-Cola Company (The),100,True,True,60.0,7.5,0.0,0.83,84.14,1722728998,Consumer Staples,S&P500
VLO,Valero Energy,100,True,True,58.1,2.4,-0.6,0.91,267.76,842604531,Energy,S&P500
AVB,AvalonBay Communities,100,True,True,66.0,6.9,-1.4,0.88,193.96,232619584,Real Estate,S&P500
VTRS,Viatris,100,True,True,55.6,7.3,-3.3,0.87,16.7,162139960,Health Care,S&P500
MAA,Mid-America Apartment Communities,100,True,True,59.6,7.3,-3.9,0.91,142.19,151017955,Real Estate,S&P500
KNTK,"Kinetik Holdings, Inc.",100,True,False,52.8,3.8,-6.9,1.04,47.75,56880708,Energy,S&P600
RAMP,"LiveRamp Holdings, Inc.",100,True,True,54.0,0.9,-0.3,0.45,37.73,51466679,Information Technology,S&P600
AAP,"Advance Auto Parts, Inc.",100,True,True,52.1,7.7,-6.0,1.08,61.53,98704505,Consumer Discretionary,S&P600
WMB,Williams Companies,100,True,False,57.3,2.8,-7.2,1.16,73.14,576931619,Energy,S&P500
PCRX,"Pacira BioSciences, Inc.",100,True,False,69.4,13.8,-6.7,0.87,25.39,11656636,Health Care,S&P600
NBIX,Neurocrine Biosciences,100,True,True,66.9,5.5,0.0,1.13,174.26,195859766,Health Care,S&P400
NSC,Norfolk Southern,100,True,True,63.1,5.8,-0.9,0.58,322.71,357335304,Industrials,S&P500
MMI,"Marcus & Millichap, Inc.",100,True,True,61.5,9.9,-2.3,0.66,31.86,6284888,Real Estate,S&P600
MRCY,Mercury Systems,100,True,True,57.9,13.1,0.0,0.81,126.21,95107976,Industrials,S&P600
AMH,American Homes 4 Rent,100,True,True,63.6,6.8,-3.4,0.72,34.08,85557572,Real Estate,S&P400
NJR,New Jersey Resources,100,True,False,68.5,7.7,-0.3,1.1,57.49,48615752,Utilities,S&P400
MSGS,Madison Square Garden Sports Corp.,100,True,True,50.8,3.8,-2.0,1.26,395.16,127651460,Communication Services,S&P600
AMP,Ameriprise Financial,100,True,True,70.0,10.9,-9.7,0.86,489.16,354063320,Financials,S&P500
UDR,"UDR, Inc.",100,True,True,66.3,9.3,0.0,0.88,41.09,165761067,Real Estate,S&P500
PM,Philip Morris International,100,True,True,53.7,4.5,-4.2,1.0,182.27,974828181,Consumer Staples,S&P500
