ticker,name,sector,index
MMM,3M,Industrials,S&P500
AOS,A. O. Smith,Industrials,S&P500
ABT,Abbott Laboratories,Health Care,S&P500
ABBV,AbbVie,Health Care,S&P500
ACN,Accenture,Information Technology,S&P500
ADBE,Adobe Inc.,Information Technology,S&P500
AMD,Advanced Micro Devices,Information Technology,S&P500
AES,AES Corporation,Utilities,S&P500
AFL,Aflac,Financials,S&P500
A,Agilent Technologies,Health Care,S&P500
APD,Air Products,Materials,S&P500
ABNB,Airbnb,Consumer Discretionary,S&P500
AKAM,Akamai Technologies,Information Technology,S&P500
ALB,Albemarle Corporation,Materials,S&P500
ARE,Alexandria Real Estate Equities,Real Estate,S&P500
ALGN,Align Technology,Health Care,S&P500
ALLE,Allegion,Industrials,S&P500
LNT,Alliant Energy,Utilities,S&P500
ALL,Allstate,Financials,S&P500
GOOGL,Alphabet Inc. (Class A),Communication Services,S&P500
GOOG,Alphabet Inc. (Class C),Communication Services,S&P500
MO,Altria,Consumer Staples,S&P500
AMZN,Amazon,Consumer Discretionary,S&P500
AMCR,Amcor,Materials,S&P500
AEE,Ameren,Utilities,S&P500
AEP,American Electric Power,Utilities,S&P500
AXP,American Express,Financials,S&P500
AIG,American International Group,Financials,S&P500
AMT,American Tower,Real Estate,S&P500
AWK,American Water Works,Utilities,S&P500
AMP,Ameriprise Financial,Financials,S&P500
AME,Ametek,Industrials,S&P500
AMGN,Amgen,Health Care,S&P500
APH,Amphenol,Information Technology,S&P500
ADI,Analog Devices,Information Technology,S&P500
AON,Aon plc,Financials,S&P500
APA,APA Corporation,Energy,S&P500
APO,Apollo Global Management,Financials,S&P500
AAPL,Apple Inc.,Information Technology,S&P500
AMAT,Applied Materials,Information Technology,S&P500
APP,AppLovin,Information Technology,S&P500
APTV,Aptiv,Consumer Discretionary,S&P500
ACGL,Arch Capital Group,Financials,S&P500
ADM,Archer Daniels Midland,Consumer Staples,S&P500
ARES,Ares Management,Financials,S&P500
ANET,Arista Networks,Information Technology,S&P500
AJG,Arthur J. Gallagher & Co.,Financials,S&P500
AIZ,Assurant,Financials,S&P500
T,AT&T,Communication Services,S&P500
ATO,Atmos Energy,Utilities,S&P500
ADSK,Autodesk,Information Technology,S&P500
ADP,Automatic Data Processing,Industrials,S&P500
AZO,AutoZone,Consumer Discretionary,S&P500
AVB,AvalonBay Communities,Real Estate,S&P500
AVY,Avery Dennison,Materials,S&P500
AXON,Axon Enterprise,Industrials,S&P500
BKR,Baker Hughes,Energy,S&P500
BALL,Ball Corporation,Materials,S&P500
BAC,Bank of America,Financials,S&P500
BAX,Baxter International,Health Care,S&P500
BDX,Becton Dickinson,Health Care,S&P500
BRK-B,Berkshire Hathaway,Financials,S&P500
BBY,Best Buy,Consumer Discretionary,S&P500
TECH,Bio-Techne,Health Care,S&P500
BIIB,Biogen,Health Care,S&P500
BLK,BlackRock,Financials,S&P500
BX,Blackstone Inc.,Financials,S&P500
XYZ,"Block, Inc.",Financials,S&P500
BNY,BNY Mellon,Financials,S&P500
BA,Boeing,Industrials,S&P500
BKNG,Booking Holdings,Consumer Discretionary,S&P500
BSX,Boston Scientific,Health Care,S&P500
BMY,Bristol Myers Squibb,Health Care,S&P500
AVGO,Broadcom,Information Technology,S&P500
BR,Broadridge Financial Solutions,Industrials,S&P500
BRO,Brown & Brown,Financials,S&P500
BF-B,Brown–Forman,Consumer Staples,S&P500
BLDR,Builders FirstSource,Industrials,S&P500
BG,Bunge Global,Consumer Staples,S&P500
BXP,"BXP, Inc.",Real Estate,S&P500
CHRW,C.H. Robinson,Industrials,S&P500
CDNS,Cadence Design Systems,Information Technology,S&P500
CPT,Camden Property Trust,Real Estate,S&P500
COF,Capital One,Financials,S&P500
CAH,Cardinal Health,Health Care,S&P500
CCL,Carnival Corporation,Consumer Discretionary,S&P500
CARR,Carrier Global,Industrials,S&P500
CVNA,Carvana,Consumer Discretionary,S&P500
CASY,Casey's,Consumer Staples,S&P500
